episode,timestep,reward
1,4000,723.1526
3,8000,726.6056
5,12000,645.5458
7,16000,688.7779
9,20000,632.5725
11,24000,660.1572
13,28000,786.0838
15,32000,722.2827
17,36000,716.2762
19,40000,647.2953
21,44000,664.5725
23,48000,742.2742
25,52000,677.2701
27,56000,761.9882
29,60000,692.5442
31,64000,788.197
33,68000,788.2347
35,72000,705.0455
37,76000,627.6074
39,80000,740.9963
41,84000,747.0727
43,88000,722.5757
45,92000,722.7442
47,96000,720.034
49,100000,628.3293
51,104000,715.4853
53,108000,772.4506
55,112000,655.3969
57,116000,743.0653
59,120000,659.8037
61,124000,737.214
63,128000,660.9761
65,132000,712.0006
67,136000,717.0982
69,140000,646.2153
71,144000,738.1936
73,148000,726.5835
75,152000,707.9883
77,156000,699.6481
79,160000,698.7571
81,164000,692.7449
83,168000,673.6731
85,172000,725.7154
87,176000,715.5972
89,180000,707.6072
91,184000,706.6083
93,188000,651.1726
95,192000,766.715
97,196000,718.8394
99,200000,765.7544
101,204000,681.7085
103,208000,668.6701
105,212000,700.6181
107,216000,734.3891
109,220000,725.092
111,224000,709.8737
113,228000,674.6656
115,232000,753.7325
117,236000,651.316
119,240000,686.2306
121,244000,640.4257
123,248000,658.778
125,252000,734.5623
127,256000,658.5221
129,260000,703.3796
131,264000,764.05
133,268000,749.6755
135,272000,712.4017
137,276000,728.6322
139,280000,669.8572
141,284000,726.5994
143,288000,655.1179
145,292000,742.7842
147,296000,700.282
149,300000,670.383
151,304000,718.5177
153,308000,690.5374
155,312000,754.5601
157,316000,710.858
159,320000,714.864
161,324000,761.4347
163,328000,713.3191
165,332000,744.9712
167,336000,719.4426
169,340000,702.8096
171,344000,704.3849
173,348000,733.0944
175,352000,671.5282
177,356000,779.7599
