Episode,BallX,BallY,Observation,Action1
0,-0.15,-0.08,"[ 3.84986102e-01  3.86543819e-01  3.91277327e-01  3.99383670e-01
  4.11213904e-01  4.27311870e-01  3.28727008e-02  2.86845994e-02
  2.42410814e-02  2.42569143e-02  2.75273949e-02  2.85097469e-02
  2.70178534e-02  2.58722848e-02  2.50131090e-02  2.43992975e-02
  2.40035230e-02  2.38090196e-02  2.38077885e-02  2.39997796e-02
  2.43928863e-02  2.50037532e-02  2.58595556e-02  2.70011189e-02
  2.84880873e-02  2.75273949e-02  2.42569143e-02  2.42410814e-02
  2.86845994e-02  3.28727008e-02  4.27329547e-01  4.11236989e-01
  3.99411604e-01  3.91309834e-01  3.86580847e-01  3.85027797e-01
 -3.00000000e-01 -1.06336206e-23 -4.89957326e-01 -1.50000000e-01
 -8.00000000e-02  4.45092877e-01  7.41017995e-01]",[0.5 0.5]
0,-0.15,-0.08,"[ 3.84986102e-01  3.86543819e-01  3.91277327e-01  3.99383670e-01
  4.11213904e-01  4.27311870e-01  3.30776141e-02  2.88634060e-02
  2.43170842e-02  2.43329668e-02  2.75273949e-02  2.74528453e-02
  2.60162587e-02  2.49131581e-02  2.40858333e-02  2.34947768e-02
  2.31136743e-02  2.29263814e-02  2.29251960e-02  2.31100697e-02
  2.34886033e-02  2.40768244e-02  2.49009008e-02  2.60001445e-02
  2.74319887e-02  2.75273949e-02  2.43329668e-02  2.43170842e-02
  2.88634060e-02  3.30776141e-02  4.27329547e-01  4.11236989e-01
  3.99411604e-01  3.91309834e-01  3.86580847e-01  3.85027797e-01
 -3.00000000e-01 -3.19543972e-23 -4.89957326e-01 -1.50000000e-01
 -8.00000000e-02  4.45054144e-01  7.40994731e-01]",[0.5 0.5]
0,-0.15,-0.08,"[ 3.84987367e-01  3.86543664e-01  3.91275702e-01  3.99380465e-01
  4.11208930e-01  4.27304840e-01  3.32099960e-02  2.89789215e-02
  2.43733228e-02  2.43916175e-02  2.75273999e-02  2.62577381e-02
  2.48836798e-02  2.38285917e-02  2.30372752e-02  2.24719421e-02
  2.21074236e-02  2.19282774e-02  2.19271366e-02  2.21039547e-02
  2.24660011e-02  2.30286055e-02  2.38167960e-02  2.48681724e-02
  2.62376668e-02  2.75273899e-02  2.43913750e-02  2.43731038e-02
  2.89793787e-02  3.32105189e-02  4.27336572e-01  4.11241958e-01
  3.99414805e-01  3.91311454e-01  3.86580999e-01  3.85026528e-01
 -2.99942940e-01  1.26275950e-06 -4.90080896e-01 -1.50000000e-01
 -8.00000000e-02  4.44996551e-01  7.40960141e-01]",[0.5 0.5]
0,-0.15,-0.08,"[ 3.84993456e-01  3.86542874e-01  3.91267802e-01  3.99364912e-01
  4.11184814e-01  4.27270772e-01  3.29087329e-02  2.87160356e-02
  2.42542479e-02  2.42821834e-02  2.74499614e-02  2.57131428e-02
  2.43675484e-02  2.33343146e-02  2.25593855e-02  2.20057551e-02
  2.16487752e-02  2.14733230e-02  2.14721834e-02  2.16453101e-02
  2.19998205e-02  2.25507252e-02  2.33225317e-02  2.43520578e-02
  2.56930933e-02  2.74241051e-02  2.42807807e-02  2.42529887e-02
  2.87185967e-02  3.29116559e-02  4.27370650e-01  4.11266081e-01
  3.99430361e-01  3.91319356e-01  3.86581790e-01  3.85020440e-01
 -2.99719215e-01  7.33382013e-06 -4.90534425e-01 -1.50000000e-01
 -8.00000000e-02  4.44920704e-01  7.40914592e-01]",[0.5 0.5]
0,-0.15,-0.08,"[ 3.84993376e-01  3.86542847e-01  3.91267829e-01  3.99364998e-01
  4.11184965e-01  4.27270999e-01  3.26851174e-02  2.85209046e-02
  2.41740139e-02  2.42092168e-02  2.70304537e-02  2.53201531e-02
  2.39951030e-02  2.29776431e-02  2.22145425e-02  2.16693597e-02
  2.13178225e-02  2.11450386e-02  2.11439027e-02  2.13143684e-02
  2.16634441e-02  2.22059099e-02  2.29658979e-02  2.39796619e-02
  2.53001676e-02  2.70046801e-02  2.42077358e-02  2.41726811e-02
  2.85234151e-02  3.26879711e-02  4.27370416e-01  4.11265923e-01
  3.99430269e-01  3.91319323e-01  3.86581811e-01  3.85020515e-01
 -2.99600130e-01  7.24816518e-06 -4.90866350e-01 -1.50000000e-01
 -8.00000000e-02  4.44827411e-01  7.40858573e-01]",[0.5 0.5]
0,-0.15,-0.08,"[ 3.84993398e-01  3.86542820e-01  3.91267752e-01  3.99364867e-01
  4.11184773e-01  4.27270735e-01  3.26847690e-02  2.85206092e-02
  2.41738575e-02  2.42090619e-02  2.70316454e-02  2.53212408e-02
  2.39961097e-02  2.29785863e-02  2.22154357e-02  2.16702138e-02
  2.13186465e-02  2.11458402e-02  2.11446887e-02  2.13151449e-02
  2.16642168e-02  2.22066843e-02  2.29666795e-02  2.39804562e-02
  2.53009804e-02  2.70055172e-02  2.42138550e-02  2.41781654e-02
  2.85113867e-02  3.26741963e-02  4.27370683e-01  4.11266118e-01
  3.99430403e-01  3.91319403e-01  3.86581840e-01  3.85020495e-01
 -2.99651801e-01  7.27251643e-06 -4.90721477e-01 -1.50000000e-01
 -8.00000000e-02  4.44717679e-01  7.40792693e-01]",[0.5 0.5]
0,-0.15,-0.08,"[ 3.84993428e-01  3.86542830e-01  3.91267741e-01  3.99364832e-01
  4.11184713e-01  4.27270646e-01  3.26735717e-02  2.85108413e-02
  2.41782778e-02  2.42139909e-02  2.70323786e-02  2.53219180e-02
  2.39967434e-02  2.29791861e-02  2.22160093e-02  2.16707675e-02
  2.13191858e-02  2.11463699e-02  2.11452131e-02  2.13156682e-02
  2.16647431e-02  2.22072180e-02  2.29672249e-02  2.39810184e-02
  2.53015650e-02  2.70061310e-02  2.42190129e-02  2.41828189e-02
  2.85014513e-02  3.26628135e-02  4.27370774e-01  4.11266180e-01
  3.99430439e-01  3.91319416e-01  3.86581833e-01  3.85020467e-01
 -2.99693522e-01  7.30413424e-06 -4.90605162e-01 -1.50000000e-01
 -8.00000000e-02  4.44592720e-01  7.40717684e-01]",[0.5 0.5]
0,-0.15,-0.08,"[ 3.84993445e-01  3.86542872e-01  3.91267809e-01  3.99364929e-01
  4.11184843e-01  4.27270813e-01  3.26641948e-02  2.85026612e-02
  2.41820540e-02  2.42181802e-02  2.70329089e-02  2.53224073e-02
  2.39972008e-02  2.29796187e-02  2.22164226e-02  2.16711662e-02
  2.13195738e-02  2.11467506e-02  2.11455897e-02  2.13160438e-02
  2.16651206e-02  2.22076003e-02  2.29676152e-02  2.39814203e-02
  2.53019825e-02  2.70065687e-02  2.42233889e-02  2.41867852e-02
  2.84931319e-02  3.26532820e-02  4.27370609e-01  4.11266052e-01
  3.99430344e-01  3.91319349e-01  3.86581792e-01  3.85020451e-01
 -2.99727748e-01  7.32313021e-06 -4.90510943e-01 -1.50000000e-01
 -8.00000000e-02  4.44453946e-01  7.40634397e-01]",[0.5 0.5]
0,-0.15,-0.08,"[ 3.84993461e-01  3.86542908e-01  3.91267867e-01  3.99365010e-01
  4.11184949e-01  4.27270950e-01  3.26559390e-02  2.84954562e-02
  2.41852193e-02  2.42216989e-02  2.70326476e-02  2.53221658e-02
  2.39969748e-02  2.29794047e-02  2.22162179e-02  2.16709685e-02
  2.13193811e-02  2.11465614e-02  2.11454023e-02  2.13158566e-02
  2.16649323e-02  2.22074093e-02  2.29674199e-02  2.39812189e-02
  2.53017729e-02  2.70063485e-02  2.42270256e-02  2.41900734e-02
  2.84857846e-02  3.26448607e-02  4.27370473e-01  4.11265947e-01
  3.99430265e-01  3.91319293e-01  3.86581757e-01  3.85020437e-01
 -2.99756173e-01  7.34048160e-06 -4.90432714e-01 -1.50000000e-01
 -8.00000000e-02  4.44302974e-01  7.40543809e-01]",[0.5 0.5]
0,-0.15,-0.08,"[ 3.84993474e-01  3.86542939e-01  3.91267915e-01  3.99365078e-01
  4.11185040e-01  4.27271067e-01  3.26486975e-02  2.84891365e-02
  2.41879765e-02  2.42247594e-02  2.70322270e-02  2.53217748e-02
  2.39966066e-02  2.29790543e-02  2.22158810e-02  2.16706417e-02
  2.13190613e-02  2.11462457e-02  2.11450882e-02  2.13155417e-02
  2.16646138e-02  2.22070847e-02  2.29670862e-02  2.39808726e-02
  2.53014102e-02  2.70059644e-02  2.42301866e-02  2.41929356e-02
  2.84793428e-02  3.26374774e-02  4.27370357e-01  4.11265858e-01
  3.99430197e-01  3.91319246e-01  3.86581727e-01  3.85020424e-01
 -2.99780465e-01  7.35525135e-06 -4.90365872e-01 -1.50000000e-01
 -8.00000000e-02  4.44141623e-01  7.40447015e-01]",[0.5 0.5]
